question,answer
What is course planning?,Course planning is how we help students determine which courses are required for their program and any future program they may be interested in.
What are prerequisites and corequisites?,A prerequisite is a requirement (often a course) that must be completed before a course can be taken. A corequisite is a course that must be taken at the same time or before the course.
Are there any tests available if I don’t have the prerequisite course?,"We offer assessment tests for Math, English and Program Readiness requirements. Please visit the assessment testing page for further information. "
Are there upgrading options for English and Math?,"Yes, Douglas College offers English and Math upgrading designed to help you upgrade your education and skills, and also prepare for entry to college-level courses and programs. Please read over the program page carefully to see if the options are suitable for your needs."
How do I calculate my GPA for my Douglas College courses?,"Use the GPA calculator to determine your current GPA. If you repeat a course, the higher grade will be used in your calculation at Douglas College. You can also find your GPA on your unofficial transcript by logging into My Account. "
"What is considered an arts, science, stats, lab science, or a first or second year course?",Please review our associate of arts checklist for definitions on all of these courses. 
Which Geography courses are considered Arts and which one's are Science courses?,"The following are Arts:GEOG: 1100, 1130, 1140, 1150, 1160, 1170, 1180, 1190, 2212, 2213, 2270, 2281, 2311, 3327, 3361, and 3382The following Human Geography courses are considered Science:GEOG: 1110, 1120, 2210, 2220, 2230, 2251 (also Stats), and 3311   "
What if I don’t know which program or career to choose?,See a career counsellor for help with planning your career goals.
Which programs are offered at Douglas College?,You can view a list of the programs we offer on the program and course catalogue. 
How can I find out more information about a program?,You can attend an information session or you can contact the department.
I am almost done my program. How do I apply to graduate?,"You should apply to graduate after you have enrolled in your final term of courses. You can apply by completing the online graduation application found on myAccount under ""Student Records"". Learn more from our graduation page."
What is UT?,"UT stands for university transfer. A course is considered to be university transferable if it transfers for credit to one of the five research universities: SFU, UBC-V, UBC-O, UNBC, or UVIC (at the time the course is taken). This information can be found using the BC Transfer Guide. "
"I'm interested in transferring to a university, how should I plan my courses?",Please review our University Transfer page for more information on how to plan for your transfer.  We encourage students to meet with a Student Success Advisor early to plan a successful transfer. 
Can I get credit at Douglas College for courses I have taken at another institution?,Transfer Credit is possible for courses taken at another institution. Consult the BC Transfer Guide to see if a course transfers to/from Douglas College. Read over our Transfer Credit page for more information on initiating the process.
Will other universities and colleges calculate my GPA differently?,"Yes, every institution will calculate the grade point average (GPA) in accordance with its own policies. Please review the institution’s website to see the current policies. "
"Where can I get more information on student loans, grants, awards, scholarships, and bursaries?",Please contact our Financial Aid department to get detailed information about these topics. 
