question,answer
"Douglas College awards, bursaries, and scholarships","Visit Douglas College Awards, Bursaries, and Scholarships administered by Douglas College to find out about eligibility criteria and deadlines."
Douglas College entrance awards & scholarships,"You may be eligible if you:Are graduating from a high school in Metro Vancouver.Are entering Douglas College in the Fall semester.Have a minimum 3.5 GPA (scholarship) or 3.0 GPA (award).Visit Entrance Awards and Scholarships for more information regarding the entrance awards and  scholarships.Visit Douglas College Awards, Bursaries, and Scholarships for listings of the funds available."
"Other awards, bursaries, and scholarships","Visit External Awards, Bursaries, and Scholarships for more financial assistance options that are offered outside Douglas College.Check in your local community, credit unions, businesses, organizations, and agencies for possible sources of funds."
Creating a financial plan,Visit Financial Tools for tools to plan your funding for education.  
Paying for school and graduating without a huge debt,Investigate funding options and try to minimize your borrowing. Plan your finances now to avoid stress and uncertainty while you are a student. Live simply and inexpensively so that you can look forward to graduating without a huge debt.  
Funding provided through StudentAid BC (SABC),Loans SABC offers Canada-BC integrated loans which are administered as a single loan BC and Canada Students Loans are interest-free Repayment starts six months after your studies end  Grants Special grants are available for students with dependants and students with disabilities and for students from low- or middle-income families. Considered taxable income. Not repayable unless you withdraw early or your financial need changes.   * Enrolled in minimum 60% course load (9 credits) or 40% course load (6 credits) for students with an approved permanent disability status with StudentAid BC.
Applying for government student loans and grants,The loans and grants process page has all the information you'll need on how to apply for full-time and part-time student funding. BC students can apply through StudentAid BC and out of province students may need to apply through their home province.     
Managing and repaying your student loan,Visit Manage your loan for information on how to stay in touch with your student loan provider and maintain proof of your ongoing studies. Visit Repay your loan for information on repayment of student loans.   
How do I receive my BC student loan funding once I have registered for classes?,"Douglas College will need to confirm your enrolment in order for your student loan funds to be disbursedRegister in at least 9 credits of post-secondary level courses for Full-time loans. Not eligible for a student loan:Upgrading courses such as ENGU/ELLA and MATU.Courses that start with a zero (e.g., HUMD 0130). Repeating courses that you have passed with a grade of ""P"" or higher. (Unless approved repeat course appeal by SABC)Courses that you are auditing.Prior Learning Assessment and Recognition (PLAR) students Ensure your program is correct and that it matches on the Douglas College registration system (check your myPath) and your student loan application. If your program on the student record system does not match the program on your student loan application, your course enrolment cannot be confirmed so your funding will be delayed."
What are the Financial Aid deadlines?,Full-time student loan fundingApply early to receive your funding to be disbursed at the start of the semester. The application deadline is six weeks before the end of the semester and check out dates and deadlines. Part-time funding - Apply early as processing time is six to eight weeks. The application deadline is six weeks before the end of the semester and check out dates and deadlines.Adult Upgrading GrantApply by the deadline in order to have your application processed before the fee payment deadline and note that funding is limited. 
Has my fee deferral been applied?,Check if your fee deferral is in place by logging in to your myAccount > Registration > Registration and Schedule > Prepare for Registration > Select a term.View eligibility requirements to receive a fee deferral on the Fee Deferral Page.
What if I am an out-of-province student?,"If you do not meet BC residency requirements to apply for a BC student loan, you will need to apply for a student loan or grant funding through your ""home"" province or territory. Once you have been approved for funding, you will need to ensure a fee deferral has been placed on your account to prevent you from being dropped from classes since you will not receive the funds by the tuition payment deadline date.Check if your fee deferral is in place by logging in to your myAccount > Registration > Registration and Schedule > Prepare for Registration > Select a term.View eligibility requirements to receive a fee deferral on the Fee Deferral Page.NOTE: If you decide not to attend one or more of your courses, or if you are disqualified, from receiving loans at any time after the fee payment deadline, you are responsible for dropping your courses.See the dates and deadlines for current deadline dates."
What programs and courses are eligible for Adult Upgrading Grant funding?,Adult Upgrading Grant funding is available for the following programs and courses:3rd and 4th level English and Mathematics Upgrading (ENGU and MATU)2nd and 3rd level English Language Learning and Acquisition (ELLA)Career and Employment Preparation (CAEP)Customer Service and Cashier Training (CSCT)Local Industry Skills Training (LIST)Apply early in order to have your application processed before the fee payment deadline. 
