question,answer
How many counselling appointments can I book?,You can book one appointment at a time. The number of sessions needed will vary for each situation; you and your counsellor will discuss how many sessions you may need.
What can I expect in the first meeting?,"You’ll begin your meeting with a review of our Information and Consent to Counsel Form, and you’ll be able to ask any questions you have about the counselling process. Then, you’ll be invited to share what brings you in and begin exploring  it with your counsellor. At the end, you’ll discuss counselling goals for moving forward. Your counsellor can also help you book your next appointment if further sessions would be beneficial for you. "
Is counselling only for people with serious mental health concerns or diagnoses?,"No! Counselling can be extremely helpful for dealing with everyday concerns that you might need support with, from stress about juggling your course load to struggles in a relationship."
I’m an international student. Is counselling available to me?,"Absolutely! Counselling is available to all registered Douglas College students residing in B.C. International students may face unique challenges that could benefit from counselling support. Please note that counselling support is limited for students studying virtually from their home countries. If you are studying from your home country, you are eligible to attend any of the virtual counselling workshops or drop-in groups. You can also request one-on-one counselling support for Douglas College-specific academic concerns, such as appeals, probation, exception requests and complaints. Check out our resources page for external counselling support services that you may be eligible to access."
"I'm a non-credit student (e.g training group, continuing education, prospective student). Is counselling available to me?",Counselling is available to registered students in Douglas College credit courses only. Please check with your program coordinator/administrator for built in support options that may be tailored for your program. You may also consider our list of community resources for organizations that can provide 24/7 crisis assistance and/or support for specific mental health-related concerns.
"What is the difference between the support services offered by counsellors, student success advisors and career coaches?","Review the statements below to determine who would be best able to assist you.  I am... I should talk to... I don’t know... I should contact... I want... I should ask... not sure which field of study or career would be best for me.  indecisive about my future life goals.  not doing well academically in my current program and wondering if I should change directions. not sure if I’m making good choices for my future. struggling to handle my course load and worried I will not be successful. feeling down and unmotivated in my current program. on academic probation and blocked from registering for my classes. withdrawing from my course after the deadline and need help submitting an exception request for a refund/late withdrawal.  the Counsellors in the Counselling Department.  what the requirements are for admission to Douglas/my program of choice. how to apply to a Douglas College program how to complete the prerequisites requirements for a program or course. which program I should pursue to achieve my career goals. I need to drop a course and would like to revise my educational plan. I would like to transfer my courses to another post-secondary institution.  whether I need to take an assessment test for a specific program/course. what courses I need to graduate from my program or to transfer to another institution. why I can’t register for a specific course. what to do now that I am on academic probation and blocked from registering for my classes. how to interpret Douglas College policies. how to pay for my education. how to apply for a student loan. if there are any scholarships that I am eligible for. what to do if the course I need is full. my Student Success Advisor in Enrolment Services; visit your myAccount to find their contact information.  help finding a job. more information on a specific career, such as job prospects or what to expect in a certain occupation. help practicing my interviewing skills. help writing a resumé and/or cover letter to apply for jobs. to learn more about how to network to make connections with potential employers and advance my career opportunities. to know what career options I have with my degree or diploma. resources for researching job options. to know what kind of skills I need to get into my career. help setting up a LinkedIn account. to learn more about workplace culture and communications. to learn about career development. to meet with potential employers through recruiting, networking and job fairs. to learn more about Co-operative Education. help starting out in my career. to meet with someone in my industry to learn more about it and don't know how to get started. the Career Coaches in the Career Centre "
How quickly can I get an appointment?,"Counselling appointments are typically booked one to two weeks ahead, and certain times of the semester are busier than others. If you are in crisis or concerned for your safety, please explain your situation to reception when you phone and request a “same-day urgent appointment.” We have a few time slots set aside each day for urgent situations. We do not maintain a cancellation list; if you have a time-sensitive matter that is not eligible for an urgent appointment, we invite you to sit in the department’s waiting area or check back with reception in the event that another student cancels their appointment."
Do I need to prepare anything for my appointment?,"No, you do not need to prepare anything. However, we advise you to read the Information and Consent to Counsel Form prior to your session. Your counsellor will go over this when you arrive, so it will speed up the process if you are already familiar with it."
"Can I bring a support person (friend, parent, etc.) with me to my appointment?","Yes. However, if you do decide to bring someone, we cannot guarantee the confidentiality of the session as that individual is not legally bound in the same way your counsellor is."
What if the counsellor I meet with is not a good fit?,"We encourage you to keep meeting with the same counsellor to allow for better continuity of care. The more familiar your counsellor is with your situation, the more equipped they are to respond to your needs and achieve results. However, the counselling relationship is also important, so if you aren’t connecting well with someone, you are welcome to ask reception to schedule an appointment with another counsellor. Review our team’s bios and see if someone stands out to you as a possible better fit."
